,standard,Roll
A-FOT,,
A-Tune,,
A-Tune-Collector,,
BareBonesBrowserLaunch,,
CUnit,,
Cython,,
GConf2,,
GeoIP,,
GeoIP-GeoLite-data,,
GraphicsMagick,,
HdrHistogram,,
HikariCP,,
ImageMagick,,
Imath,,
Judy,,
LibRaw,,
ModemManager,,
NetworkManager,,
NetworkManager-libreswan,,
ORBit2,,
OpenEXR,,
OpenIPMI,,
PEGTL,,
PackageKit,,
PyPAM,,
PyQt4,,
PyYAML,,
SDL,,
SDL2,,
SDL_sound,,
SuperLU,,
TeXamator,,
Xaw3d,,
XmlSchema,,
aalib,,
aalto-xml,,
abattis-cantarell-fonts,,
abi-dumper,,
abrt,,
abseil-cpp,,
accountsservice,,
acl,,
acpica-tools,,
acpid,,
adcli,,
adobe-mappings-cmap,,
adobe-mappings-pdf,,
adwaita-icon-theme,,
adwaita-qt,,
aesh,,
afflib,,
aide,,
airline,,
alsa-firmware,,
alsa-lib,,
alsa-plugins,,
alsa-tools,,
alsa-utils,,
amanda,,
amtk,,
anaconda,,
anaconda-user-help,,
android-json-org-java,,
annobin,,
annotation-indexer,,
ansible,,
ant,,
ant-antunit,,
ant-contrib,,
anthy,,
antlr,,
antlr-maven-plugin,,
antlr3,,
antlr32,,
antlr4,,
aom,,
aopalliance,,
apache-commons-beanutils,,
apache-commons-chain,,
apache-commons-cli,,
apache-commons-codec,,
apache-commons-collections,,
apache-commons-collections4,,
apache-commons-compress,,
apache-commons-configuration,,
apache-commons-csv,,
apache-commons-daemon,,
apache-commons-dbcp,,
apache-commons-digester,,
apache-commons-discovery,,
apache-commons-el,,
apache-commons-exec,,
apache-commons-fileupload,,
apache-commons-io,,
apache-commons-javaflow,,
apache-commons-jci,,
apache-commons-jexl,,
apache-commons-jxpath,,
apache-commons-lang,,
apache-commons-lang3,,
apache-commons-logging,,
apache-commons-math,,
apache-commons-net,,
apache-commons-ognl,,
apache-commons-parent,,
apache-commons-pool,,
apache-commons-pool2,,
apache-commons-validator,,
apache-commons-vfs,,
apache-ivy,,
apache-logging-parent,,
apache-mime4j,,
apache-mina,,
apache-parent,,
apache-poi,,
apache-rat,,
apache-resource-bundles,,
apache-sshd,,
apache2-mod_xforward,,
apiguardian,,
apiviz,,
apr,,
apr-util,,
aqute-bnd,,
argon2,,
args4j,,
aries-blueprint-annotation-api,,
aries-blueprint-api,,
aries-blueprint-parser,,
aries-quiesce-api,,
armadillo,,
arpack-ng,,
arptables,,
arpwatch,,
arquillian-core,,
artemis,,
asciidoc,,
asio,,
aspectjweaver,,
aspell,,
assertj-core,,
assimp,,
at,,
at-spi2-atk,,
at-spi2-core,,
atf,,
atinject,,
atk,,
atkmm,,
atmel-firmware,,
attest-tools,,
attr,,
audiofile,,
audit,,
augeas,,
authd,,
authselect,,
authz,,
auto,,
autoconf,,
autoconf-archive,,
autoconf213,,
autofdo,,
autofs,,
autogen,,
automake,,
automoc,,
avahi,,
avalon-framework,,
avalon-logkit,,
aws-sdk-java,,
axiom,,
b43-openfwwf,,
b43-tools,,
babel,,
babeltrace,,
babl,,
bacula,,
bam,,
base64coder,,
basesystem,,
bash,,
bash-completion,,
batik,,
bazel,,
bc,,
bcache-tools,,
bcc,,
bcel,,
bcrypt,,
bea-stax,,
beakerlib,,
bean-validation-api,,
beust-jcommander,,
bind,,
bind-dyndb-ldap,,
binutils,,
bison,,
blivet-gui,,
blktrace,,
bluez,,
boilerpipe,,
bolt,,
boom-boot,,
boost,,
bouncycastle,,
bpg-fonts,,
brasero,,
breeze-icon-theme,,
bridge-method-injector,,
bridge-utils,,
brltty,,
brotli,,
bsf,,
bsh,,
btrfs-progs,,
bubblewrap,,
buildnumber-maven-plugin,,
bullet,,
busybox,,
bval,,
bwa,,
byacc,,
byaccj,,
byte-buddy,,
bytelist,,
byteman,,
bzip2,,
c-ares,,
c-blosc,,
c3p0,,
ca-certificates,,
cachefilesd,,
cairo,,
cairomm,,
cal10n,,
capstone,,
cassandra-java-driver,,
castor,,
castor-maven-plugin,,
catch1,,
cbi-plugins,,
ccache,,
ccid,,
cdi-api,,
cdparanoia,,
cdrdao,,
cdrkit,,
celt051,,
ceph,,
cereal,,
certmonger,,
cfitsio,,
cgdcbxd,,
cglib,,
check,,
checkpolicy,,
checkstyle,,
cheese,,
chkconfig,,
chromaprint,,
chrony,,
chrpath,,
cifs-utils,,
cim-schema,,
cjkuni-ukai-fonts,,
cjkuni-uming-fonts,,
cjose,,
cjson,,
ck,,
clamav,,
clang,,
classloader-leak-test-framework,,
classmate,,
cldr-emoji-annotation,,
clevis,,
cli-parser,,
clibcni,,
cloc,,
closure-compiler,,
cloud-init,,
cloud-utils,,
clucene,,
clutter,,
clutter-gst2,,
clutter-gst3,,
clutter-gtk,,
cmake,,
cmocka,,
cockpit,,
codegen,,
